no,EIP,EIP_BB3,EIP_BB5,EIP_BB9,EIP_BB11,pips,pips_1SC,pips_2SC,pips_8SC,pips_4PQ,pips_5PQ,pips_6PQ,pips_8PQ,pips_9PQ,pips_10PQ,tap,mana
268486.0,9728.0,17865.0,10489.0,9728.0,9728.0,25541.0,43964.0,29193.0,24190.0,25541.0,26118.0,25490.0,25001.0,25276.0,25541.0,27337.0,54196.0
466965.0,46816.0,55726.0,46816.0,46816.0,46816.0,162536.0,215250.0,180845.0,162273.0,162536.0,170473.0,166390.0,162554.0,161779.0,162536.0,171351.0,201219.0
406641.0,56495.0,54343.0,56495.0,56495.0,56495.0,127851.0,166415.0,138727.0,129006.0,127851.0,132266.0,129480.0,126787.0,126794.0,127851.0,230669.0,154536.0
499913.0,79035.0,92561.0,79035.0,79035.0,79035.0,141200.0,173785.0,147811.0,141443.0,141200.0,143862.0,141804.0,141149.0,142945.0,141200.0,530812.0,183973.0
595433.0,84359.0,82930.0,84359.0,84359.0,84359.0,173679.0,235953.0,193265.0,174842.0,173679.0,183315.0,175295.0,172269.0,173996.0,173679.0,279822.0,230781.0
686837.0,9851.0,24727.0,9851.0,9851.0,9851.0,36194.0,103767.0,60677.0,33700.0,36194.0,40398.0,36525.0,35463.0,35104.0,36194.0,31392.0,108337.0
803283.0,10940.0,40648.0,10940.0,10940.0,10940.0,59857.0,148870.0,83468.0,59412.0,59857.0,63200.0,60586.0,59426.0,58932.0,59857.0,117827.0,161608.0
672588.0,20324.0,37640.0,20517.0,20324.0,20324.0,140555.0,208493.0,158480.0,138569.0,140555.0,142837.0,140782.0,143279.0,141462.0,140555.0,236868.0,193642.0
501911.0,20851.0,92565.0,24419.0,20851.0,20851.0,88864.0,117558.0,91853.0,90315.0,88864.0,90521.0,89561.0,88583.0,89057.0,88864.0,112167.0,103872.0
819601.0,27046.0,22914.0,27046.0,27046.0,27046.0,78036.0,293199.0,148935.0,72449.0,78036.0,100983.0,84784.0,71161.0,67126.0,78036.0,10016.0,230618.0
850928.0,70429.0,149746.0,81099.0,70429.0,70429.0,211258.0,275028.0,231933.0,224831.0,211258.0,227878.0,222793.0,218472.0,217093.0,211258.0,514338.0,260849.0
1023044.0,74463.0,169994.0,91109.0,74463.0,74463.0,237867.0,309552.0,260305.0,240397.0,237867.0,250547.0,242763.0,235040.0,234413.0,237867.0,419239.0,292189.0
1022076.0,42690.0,171343.0,65128.0,42690.0,42690.0,221348.0,291197.0,241686.0,224132.0,221348.0,231818.0,225291.0,219667.0,217067.0,221348.0,341304.0,268191.0
1135905.0,46660.0,189526.0,65876.0,46660.0,46660.0,244747.0,321038.0,267067.0,247280.0,244747.0,255205.0,245791.0,242337.0,238512.0,244747.0,402887.0,295925.0
1178749.0,70560.0,218521.0,94146.0,70560.0,70560.0,264890.0,339980.0,286105.0,268611.0,264890.0,277186.0,268698.0,263441.0,260783.0,264890.0,465976.0,321205.0
1298544.0,50834.0,211732.0,73605.0,50834.0,50834.0,277006.0,369142.0,306386.0,281158.0,277006.0,290711.0,280269.0,273236.0,271131.0,277006.0,447111.0,338626.0
1355380.0,59606.0,231621.0,82128.0,59606.0,59606.0,288804.0,377648.0,316373.0,295126.0,288804.0,305754.0,294230.0,284959.0,284589.0,288804.0,499733.0,348611.0
1510549.0,38601.0,41520.0,38601.0,38601.0,38601.0,134210.0,436078.0,252488.0,118657.0,134210.0,168817.0,146716.0,129959.0,131060.0,134210.0,42398.0,350132.0
1620271.0,45191.0,19130.0,45191.0,45191.0,45191.0,140770.0,433891.0,238702.0,127476.0,140770.0,184536.0,157355.0,137080.0,122904.0,140770.0,28909.0,346396.0
2075882.0,46925.0,63431.0,46925.0,46925.0,46925.0,395039.0,598667.0,465941.0,393021.0,395039.0,419877.0,402696.0,387171.0,386494.0,395039.0,399469.0,603187.0
2165536.0,16050.0,33041.0,16050.0,16050.0,16050.0,185400.0,401382.0,267316.0,183983.0,185400.0,214849.0,197920.0,182943.0,179207.0,185400.0,44550.0,306426.0
2397154.0,17509.0,36630.0,17509.0,17509.0,17509.0,218007.0,446606.0,294228.0,215896.0,218007.0,248583.0,220074.0,213507.0,208969.0,218007.0,47462.0,336812.0
2147840.0,16446.0,32709.0,16446.0,16446.0,16446.0,186454.0,390449.0,264357.0,184610.0,186454.0,213716.0,197398.0,179465.0,182563.0,186454.0,46922.0,303465.0
2400942.0,23774.0,37337.0,23774.0,23774.0,23774.0,219069.0,450949.0,307380.0,213323.0,219069.0,246614.0,227458.0,212938.0,213243.0,219069.0,46545.0,334784.0
2441052.0,18537.0,37487.0,18537.0,18537.0,18537.0,223830.0,455172.0,313641.0,216643.0,223830.0,247955.0,232391.0,216678.0,214855.0,223830.0,49680.0,342945.0
2448682.0,16386.0,36955.0,16386.0,16386.0,16386.0,208860.0,451365.0,303412.0,203486.0,208860.0,242745.0,220406.0,203760.0,198655.0,208860.0,44189.0,338388.0
