no,EIP,EIP_BB3,EIP_BB5,EIP_BB9,EIP_BB11,pips,pips_1SC,pips_2SC,pips_8SC,pips_4PQ,pips_5PQ,pips_6PQ,pips_8PQ,pips_9PQ,pips_10PQ,tap,mana
21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437,21.8437
17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064,17.9064
20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042,20.8042
26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752,26.3752
20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133,20.4133
22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138,22.7138
15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531,15.8531
17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078,17.1078
35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057,35.7057
11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667,11.8667
36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423,36.3423
33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589,33.589
30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137,30.2137
29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951,29.6951
